relative_path,group,status,error,n_samples,duration_s,sampling_rate_hz,raw_frequency_hz,raw_peak_amplitude,processed_frequency_hz,processed_peak_amplitude
acoplado/scope_11_1.csv,acoplado,ok,,100000,29.999699999999997,3333.333333341102,36.33333333341801,0.10497489155968907,39.00938220278219,0.1375098893213073
acoplado/scope_12_1.csv,acoplado,ok,,100000,19.9998,5000.000000011653,36.35000000008471,0.1582152226044481,39.08893272105515,0.1745397833079546
acoplado/scope_13_1.csv,acoplado,ok,,100000,19.9998,5000.000000011653,36.35000000008471,0.15364924654783751,36.33776820742146,0.18403069032671673
acoplado/scope_14_1.csv,acoplado,ok,,100000,19.9998,5000.000000011653,36.35000000008471,0.12841840925904036,36.38057501364643,0.1356256006534393
acoplado/scope_15_1.csv,acoplado,ok,,100000,19.99979999999,5000.000000011653,36.35000000008471,0.1634175316585257,36.34358875551751,0.14920238554132104
acoplado/scope_16_1.csv,acoplado,ok,,100000,19.99979999999,5000.000000011653,36.35000000008471,0.1634175316585257,36.34358875551751,0.14920238554132104
acoplado/scope_17_1.csv,acoplado,ok,,100000,19.99979999999,5000.000000011653,37.950000000088444,0.2837948916381839,37.93839322291181,0.3028405362687039
acoplado/scope_18_1.csv,acoplado,ok,,100000,19.99979999999,5000.000000011653,38.10000000008879,0.13362090298713938,38.118228260348204,0.14862018234229357
acoplado/scope_19_1.csv,acoplado,ok,,100000,19.99980000001,5000.000000011653,2.45000000000571,0.32551523095858353,3.2544348131617005,0.27286581324559134
acoplado/scope_20_1.csv,acoplado,ok,,100000,19.99980000001,5000.000000011653,2.000000000004661,0.4113424950508822,1.9992729916440635,0.4501649495988777
acoplado/scope_21_1.csv,acoplado,ok,,99500,19.89980000001,5000.000000011653,1.1055276381935313,0.25577859771553685,44.47042081734291,0.10441529843197146
acoplado/scope_22_1.csv,acoplado,ok,,100000,19.999800000009998,5000.000000011653,1.0000000000023306,0.24063115091987078,1.0268228958711423,0.25765065979503626
acoplado/scope_23_1.csv,acoplado,ok,,100000,49.9995,2000.0000000046612,36.32000000008465,0.1973965692918974,36.32419641079086,0.17264023813881485
acoplado/scope_24_1.csv,acoplado,ok,,100000,99.999,1000.0000000023306,36.26000000008451,0.12395930406507907,36.27248599215945,0.42836746907696865
acoplado/scope_25_1.csv,acoplado,ok,,100000,99.999,1000.0000000023306,1.1000000000025636,0.08272871665700722,1.0997333665314872,0.09104228945317108
analysis_decimal/dados_precisos_pipeline.csv,analysis_decimal,ok,,44236,10.360899995,10000.000000023307,62.39262139448486,0.0020175222833332877,60.97837421241033,0.002775177080816992
arquivo.csv,.,ok,,40586,44.23400000003,1000.0000000005542,19.440201054561605,0.39299639122274554,19.447618101446373,0.362251882374327
centt/sinc_dados_calibrados_11.csv,centt,ok,,116124,116.123,999.9999999996661,4.951603458370431,1.8701792199388134,4.955358681786755,1.669962477220816
centt/sinc_dados_calibrados_12.csv,centt,ok,,118676,118.675,999.9999999987779,4.963092790448618,1.9199507603701778,4.964138523900179,1.9214364168913092
centt/sinc_dados_calibrados_13.csv,centt,ok,,117934,117.933,999.9999999987779,4.985839537362266,1.6155257729934531,4.986789679802929,1.5414720830619957
centt/sinc_dados_calibrados_14.csv,centt,ok,,116359,116.358,999.9999999996661,4.9845736041028745,1.6005237332324267,4.9856200595802465,1.576213276319953
centt/sinc_dados_calibrados_15.csv,centt,ok,,122814,122.813,999.9999999987779,4.983145244021464,1.5845944694048988,4.9865964849322655,1.53015794581631
centt/sinc_dados_calibrados_16.csv,centt,ok,,117936,117.934996,999.9999999987779,4.985754985748892,1.5981137411066033,4.986854380453578,1.554640485307673
centt/sinc_dados_calibrados_17.csv,centt,ok,,117290,117.289,999.9999999987779,4.987637479744948,1.536038528048946,4.982425007672306,1.5247245858347818
centt/sinc_dados_calibrados_18.csv,centt,ok,,121549,121.548,999.9999999987779,4.98564364987996,1.4943232503291617,4.979014072909725,1.3824823575142469
centt/sinc_dados_calibrados_19.csv,centt,ok,,114686,114.684996,999.9999999996661,4.987531172068159,1.4283555119151403,4.979853831258911,1.4517764494673782
centt/sinc_dados_calibrados_20.csv,centt,ok,,119752,119.751,999.9999999987779,4.985302959443437,1.578806152767154,4.986843753909455,1.4910470165451137
dados.csv,.,error,"No matching column found. Available columns: ['x-axis,1']",,,,,,,
dados_tratados.csv,.,ok,,44236,47.7461000054,1000.0000000005542,18.740392440556548,0.2845029860097638,18.728606356978595,0.3090693973590316
dadosccccc.csv,.,ok,,44236,8.999000005,10000.0000000011,16.954516683246283,0.0392591624896205,18.71345029240803,1.4641271925321107
Dataset_sensor/acoplado/dados_01.csv,Dataset_sensor/acoplado,ok,,8844,13.237816,654.450261780116,18.721835846943616,0.8202763846547071,18.693264547074758,1.0090091332870619
Dataset_sensor/acoplado/dados_02.csv,Dataset_sensor/acoplado,ok,,13723,22.011348,618.8118811886903,18.758707467353727,0.5349363456341095,18.79109192500373,0.6019157507303478
