volt,tempo_corrigido
-3.812500000000,4.514000006000
-3.562500000000,4.515000006000
-3.187500000000,4.516000006000
-2.875000000000,4.517000006000
-2.375000000000,4.518000006000
-1.812500000000,4.519000006000
-1.312500000000,4.520000006000
-0.812500000000,4.521000006000
-0.187500000000,4.522000006000
0.375000000000,4.523000006000
0.937500000000,4.524000006000
1.437500000000,4.525000006000
2.000000000000,4.526000006000
2.562500000000,4.527000006000
2.875000000000,4.528000006000
3.312500000000,4.529000006000
3.687500000000,4.530000006000
4.000000000000,4.531000006000
4.312500000000,4.532000006000
4.562500000000,4.533000006000
4.750000000000,4.534000006000
4.812500000000,4.535000006000
4.812500000000,4.536000006000
4.937500000000,4.537000006000
4.687500000000,4.538000006000
4.500000000000,4.539000006000
4.250000000000,4.540000006000
3.937500000000,4.541000006000
3.625000000000,4.542000006000
3.250000000000,4.543000006000
2.875000000000,4.544000006000
2.312500000000,4.545000006000
1.875000000000,4.546000006000
1.312500000000,4.547000006000
0.687500000000,4.548000006000
0.250000000000,4.549000006000
-0.437500000000,4.550000006000
-0.937500000000,4.551000006000
-1.500000000000,4.552000006000
-2.000000000000,4.553000006000
-2.375000000000,4.554000006000
-2.875000000000,4.555000006000
-3.312500000000,4.556000006000
-3.687500000000,4.557000006000
-3.937500000000,4.558000006000
-4.125000000000,4.559000006000
-4.500000000000,4.560000006000
-4.562500000000,4.561000006000
-4.687500000000,4.562000006000
-4.875000000000,4.563000006000
-4.687500000000,4.564000006000
-4.500000000000,4.565000006000
-4.375000000000,4.566000006000
-4.125000000000,4.567000006000
-3.750000000000,4.568000006000
-3.312500000000,4.569000006000
-2.937500000000,4.570000006000
-2.437500000000,4.571000006000
-1.875000000000,4.572000006000
-1.312500000000,4.573000006000
-0.812500000000,4.574000006000
-0.250000000000,4.575000006000
0.312500000000,4.576000006000
0.937500000000,4.577000006000
1.437500000000,4.578000006000
1.812500000000,4.579000006000
2.437500000000,4.580000006000
2.875000000000,4.581000006000
3.250000000000,4.582000006000
3.625000000000,4.583000006000
3.937500000000,4.584000006000
4.250000000000,4.585000006000
4.437500000000,4.586000006000
4.687500000000,4.587000006000
4.812500000000,4.588000006000
4.750000000000,4.589000006000
4.812500000000,4.590000006000
4.812500000000,4.591000006000
4.625000000000,4.592000006000
4.312500000000,4.593000006000
4.125000000000,4.594000006000
3.750000000000,4.595000006000
3.500000000000,4.596000006000
3.125000000000,4.597000006000
2.687500000000,4.598000006000
2.312500000000,4.599000006000
1.500000000000,4.600000006000
1.000000000000,4.601000006000
0.187500000000,4.602000006000
-0.375000000000,4.603000006000
-0.875000000000,4.604000006000
-1.500000000000,4.605000006000
-2.000000000000,4.606000006000
-2.437500000000,4.607000006000
-2.812500000000,4.608000006000
-3.312500000000,4.609000006000
-3.500000000000,4.610000006000
-3.875000000000,4.611000006000
-4.187500000000,4.612000006000
-4.250000000000,4.613000006000
-4.500000000000,4.614000006000
-4.625000000000,4.615000006000
-4.562500000000,4.616000006000
-4.437500000000,4.617000006000
-4.500000000000,4.618000006000
-4.312500000000,4.619000006000
-4.062500000000,4.620000006000
-3.875000000000,4.621000006000
-3.437500000000,4.622000006000
-3.187500000000,4.623000006000
-2.812500000000,4.624000006000
-2.250000000000,4.625000006000
-2.000000000000,4.626000006000
-1.375000000000,4.627000006000
-0.937500000000,4.628000006000
-0.375000000000,4.629000006000
0.250000000000,4.630000006000
0.875000000000,4.631000006000
1.750000000000,4.632000006000
2.187500000000,4.633000006000
2.750000000000,4.634000006000
3.250000000000,4.635000006000
3.562500000000,4.636000006000
3.875000000000,4.637000006000
4.250000000000,4.638000006000
4.375000000000,4.639000006000
4.625000000000,4.640000006000
4.812500000000,4.641000006000
4.812500000000,4.642000006000
4.812500000000,4.643000006000
4.750000000000,4.644000006000
4.562500000000,4.645000006000
4.375000000000,4.646000006000
4.312500000000,4.647000006000
4.000000000000,4.648000006000
3.625000000000,4.649000006000
3.250000000000,4.650000006000
2.750000000000,4.651000006000
2.375000000000,4.652000006000
1.937500000000,4.653000006000
1.312500000000,4.654000006000
0.812500000000,4.655000006000
0.250000000000,4.656000006000
-0.250000000000,4.657000006000
-0.812500000000,4.658000006000
-1.437500000000,4.659000006000
-1.937500000000,4.660000006000
-2.375000000000,4.661000006000
-2.812500000000,4.662000006000
-3.437500000000,4.663000006000
-3.875000000000,4.664000006000
-4.125000000000,4.665000006000
-4.312500000000,4.666000006000
