tempo_s,posicao_mm_cent
0.0,0.35009400985392
0.0009999999999998899,0.21109400985391996
0.002000000000000224,0.35009400985392
0.0030000000000001137,0.28059400985391997
0.0040000000000000036,0.28059400985391997
0.004999999999999893,0.21109400985391996
0.006000000000000227,0.21109400985391996
0.007000000000000117,0.28059400985391997
0.008004000000000122,0.0025940098539199707
0.008999999999999897,-0.41440599014608004
0.010000000000000231,-0.9704059901460801
0.01100000000000012,-1.0399059901460799
0.01200000000000001,-0.7619059901460801
0.0129999999999999,0.21109400985391996
0.014000000000000234,0.97559400985392
0.015000000000000124,0.83659400985392
0.016000000000000014,0.69759400985392
0.016999999999999904,0.90609400985392
0.018000000000000238,1.25359400985392
0.019000000000000128,1.8790940098539202
0.020000000000000018,2.50459400985392
0.020999999999999908,2.6435940098539197
0.02200000000000024,3.13009400985392
0.02300000000000013,3.61659400985392
0.02400000000000002,4.24209400985392
0.025004000000000026,5.21509400985392
0.026000000000000245,5.91009400985392
0.027000000000000135,6.4660940098539195
0.028000000000000025,6.60509400985392
0.028999999999999915,6.81359400985392
0.03000000000000025,7.230594009853919
0.03100000000000014,7.50859400985392
0.03200000000000003,7.50859400985392
0.03299999999999992,7.71709400985392
0.03400000000000025,7.92559400985392
0.03500000000000014,8.06459400985392
0.03600000000000003,8.27309400985392
0.03699999999999992,8.27309400985392
0.038000000000000256,8.27309400985392
0.039000000000000146,8.481594009853922
0.040000000000000036,8.62059400985392
0.040999999999999925,8.551094009853921
0.041999999999999815,8.62059400985392
0.04300000000000015,8.34259400985392
0.044004000000000154,8.06459400985392
0.04499999999999993,7.99509400985392
0.04599999999999982,7.85609400985392
0.04700000000000015,7.7865940098539195
0.04800000000000004,8.134094009853921
0.04899999999999993,8.481594009853922
0.05000399999999994,8.62059400985392
0.051000000000000156,8.62059400985392
0.052000000000000046,8.551094009853921
0.052999999999999936,8.69009400985392
0.05400399999999994,8.898594009853921
0.05500000000000016,9.03759400985392
0.05600000000000005,9.17659400985392
0.05699999999999994,9.45459400985392
0.05799999999999983,9.593594009853922
0.05900000000000016,9.732594009853921
0.06000000000000005,9.87159400985392
0.06099999999999994,9.87159400985392
0.06199999999999983,9.80209400985392
0.06300000000000017,9.94109400985392
0.06400000000000006,9.94109400985392
0.06499999999999995,10.21909400985392
0.06599999999999984,10.14959400985392
0.06700000000000017,9.94109400985392
0.06800000000000006,9.732594009853921
0.06899999999999995,9.663094009853921
0.06999999999999984,9.52409400985392
0.07100000000000017,9.38509400985392
0.07200000000000006,9.38509400985392
0.07299999999999995,9.17659400985392
0.07399999999999984,8.898594009853921
0.07500000000000018,8.551094009853921
0.07600000000000007,8.27309400985392
0.07699999999999996,8.06459400985392
0.07799999999999985,7.85609400985392
0.07900000000000018,7.43909400985392
0.08000000000000007,7.30009400985392
0.08099999999999996,7.30009400985392
0.08199999999999985,7.16109400985392
0.08300000000000018,7.16109400985392
0.08400000000000007,7.0220940098539195
0.08499999999999996,6.81359400985392
0.08599999999999985,6.67459400985392
0.08700399999999986,6.74409400985392
0.08800000000000008,6.88309400985392
0.08899999999999997,6.88309400985392
0.08999999999999986,6.95259400985392
0.09100000000000019,6.88309400985392
0.09200000000000008,6.81359400985392
0.09300400000000009,6.74409400985392
